alaska 	49T03S 
alaska 	51K05S 
alaska 	49M22S 
alaska 	49T03S 
alaska 	50M05S 
alaska 	51R01S 
alaska 	42N01S 
alaska 	50S01S 
alaska 	49L10S 
alaska 	45Q05S 
alaska 	48L06S 
alaska 	49L18S 
alaska 	47P03S 
alaska 	45R01S 
alaska 	50R04S 
alaska 	49L09S 
alaska 	45O04S 
alaska 	49L14S 
alaska 	63T01S 
alaska 	49T01S 
alaska 	49M26S 
alaska 	49M08S 
alaska 	64P01S 
alaska 	50K07S 
alaska 	50O01S 
alaska 	62S01S 
alaska 	50L02S 
alaska 	46Q02S 
alaska 	33J01S 
alaska 	42M01S 
alaska 	51K14S 
alaska 	54K01S 
alaska 	50K05S 
alaska 	47O01S 
alaska 	45Q02S 
alaska 	35K02S 
alaska 	48M04S 
alaska 	49L01S 
alaska 	45L01S 
alaska 	46Q01S 
alaska 	46P01S 
alaska 	46L02S 
alaska 	50K06S 
alaska 	63P02S 
alaska 	50M03S 
alaska 	51K15S 
alaska 	48L05S 
alaska 	48V01S 
alaska 	45O10S 
alaska 	63P01S 
alaska 	48U01S 
alaska 	47L01S 
alaska 	44L01S 
alaska 	46M04S 
alaska 	49L19S 
alaska 	50N07S 
alaska 	46L01S 
alaska 	45P03S 
alaska 	50N05S 
alaska 	49L13S 
alaska 	44Q07S 
alaska 	46Q07S 
alaska 	45M07S 
arizona 	11R06S 
arizona 	11R07S 
arizona 	09S01S 
arizona 	09S06S 
arizona 	09N05S 
arizona 	12P01S 
arizona 	09S07S 
arizona 	11P02S 
arizona 	11P13S 
arizona 	09S11S 
arizona 	11R05S 
arizona 	10R04S 
arizona 	09S02S 
arizona 	11R03S 
arizona 	11R12S 
arizona 	09S04S 
arizona 	11R10S 
arizona 	11P08S 
arizona 	12P02S 
arizona 	09S18S 
arizona 	10S01S 
california 	20H13S 
california 	19L05S 
california 	19L41S 
california 	19L45S 
california 	20H06S 
california 	20H02S 
california 	20K31S 
california 	20H12S 
california 	19L19S 
california 	20L06S 
california 	20L10S 
california 	19L43S 
california 	19L03S 
california 	19L24S 
california 	19L44S 
california 	20K04S 
california 	20K03S 
california 	20K05S 
california 	19L38S 
california 	19L08S 
california 	19L17S 
california 	19L40S 
california 	19L06S 
california 	20L02S 
california 	19L07S 
california 	19L39S 
california 	20K30S 
california 	19L42S 
california 	20K27S 
california 	20K13S 
california 	19L13S 
california 	20K25S 
colorado 	05M07S 
colorado 	06J08S 
colorado 	05K06S 
colorado 	05J39S 
colorado 	07J03S 
colorado 	07M32S 
colorado 	06K45S 
colorado 	05K14S 
colorado 	07K12S 
colorado 	8M12S 
colorado 	05J28S 
colorado 	06K40S 
colorado 	06K16S 
colorado 	06J18S 
colorado 	07K02S 
colorado 	06L11S 
colorado 	07M05S 
colorado 	07M35S 
colorado 	06K46S 
colorado 	06L06S 
colorado 	06J03S 
colorado 	08L02S 
colorado 	08M10S 
colorado 	05J18S 
colorado 	06K24S 
colorado 	07J04S 
colorado 	05M03S 
colorado 	06M22S 
colorado 	05J06S 
colorado 	06J01S 
colorado 	05K27S 
colorado 	08M06S 
colorado 	06J15S 
colorado 	06K29S 
colorado 	5K30S 
colorado 	06K08S 
colorado 	05L11S 
colorado 	06M21S 
colorado 	05K09S 
colorado 	05L12S 
colorado 	5J45S 
colorado 	06K01S 
colorado 	05J11S 
colorado 	07M27S 
colorado 	06K04S 
colorado 	06K10S 
colorado 	05K26S 
colorado 	05J37S 
colorado 	05K21S 
colorado 	06K30S 
colorado 	05J41S 
colorado 	05J10S 
colorado 	06M23S 
colorado 	07M29S 
colorado 	08M07S 
colorado 	05J27S 
colorado 	06J38S 
colorado 	05K05S 
colorado 	06J06S 
colorado 	08M02S 
colorado 	07K09S 
colorado 	06K44S 
colorado 	05M16S 
colorado 	08K04S 
colorado 	05K28S 
colorado 	07M21S 
colorado 	06K12S 
colorado 	07M14S 
colorado 	07M12S 
colorado 	06M26S 
colorado 	06K06S 
colorado 	06J27S 
colorado 	05J42S 
colorado 	07K01S 
colorado 	07K14S 
colorado 	06L02S 
colorado 	07K06S 
colorado 	05J04S 
colorado 	06L03S 
colorado 	06J09S 
colorado 	06J20S 
colorado 	07M33S 
colorado 	07J05S 
colorado 	06J12S 
colorado 	06K43S 
colorado 	06L05S 
colorado 	06L13S 
colorado 	07K11S 
colorado 	08M08S 
colorado 	08M04S 
colorado 	07M30S 
colorado 	05M13S 
colorado 	07M11S 
colorado 	05J12S 
colorado 	07M34S 
colorado 	06K14S 
colorado 	06J29S 
colorado 	07K13S 
colorado 	05M08S 
colorado 	05J08S 
colorado 	07M16S 
colorado 	06M03S 
colorado 	06L14S 
colorado 	05M17S 
colorado 	06K39S 
colorado 	07M31S 
colorado 	7M37S 
colorado 	07M36S 
colorado 	05M14S 
colorado 	05J05S 
colorado 	06J05S 
colorado 	05J40S 
colorado 	06M17S 
colorado 	06J19S 
idaho 	15F04S 
